"20191014_Toxoplasma_TMT_FullExperiment, 126C:126C.127C.127N, ctrl.turbo.rah.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127N:126C.127C.127N, ctrl.turbo.cyto.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 127C:126C.127C.127N, ctrl.noturbo.nobiotin:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128N:126C.127C.127N, turborah.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 128C:126C.127C.127N, turborah.mock.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129N:126C.127C.127N, turborah.toxo.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 129C:126C.127C.127N, turborah.mock.r2:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130N:126C.127C.127N, turborah.toxo.r3:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 130C:126C.127C.127N, turbocyto.toxo.r1:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131N:126C.127C.127N, turborah.toxo.r4:control.mean"	"20191014_Toxoplasma_TMT_FullExperiment, 131C:126C.127C.127N, turbocyto.toxo.r2:control.mean"	id	accession_number	numColumnsProteinObserved	numSpectraProteinObserved	numPepsUnique	numPepsUniqueSubgroupSpecificCI	accession_numbers	species	protein_mw	percentCoverage	groupNum	subgroupNum	scoreUnique	scoreUniqueSubgroupSpecificCI	entry_name	20191014_Toxoplasma_TMT_FullExperiment unique_peptides	20191014_Toxoplasma_TMT_FullExperiment numSpectra	20191014_Toxoplasma_TMT_FullExperiment totalIntensity	20191014_Toxoplasma_TMT_FullExperiment pct_cov
0	0.133	-0.926	2.718	2.631	2.797	2.763	2.847	3.938	2.81	4.076	Q8N1F7	Q8N1F7	1	25	16	16	Q8N1F7|H3BVG0|Q8N1F7-2	HUMAN	94000.1	24.6	680	680.1	233.31	233.31	Nuclear pore complex protein Nup93	16	25	1.81E+09	24.60%
0	0.232	-0.802	2.55	2.457	2.775	2.673	2.768	3.577	2.629	3.616	O76094	O76094	1	23	14	14	O76094|O76094-2|R4GNC1	HUMAN	75175.4	24.5	681	681.1	233.05	233.05	Signal recognition particle subunit SRP72	14	23	1.45E+09	24.50%
0.008	0	-0.903	2.613	2.384	2.589	2.632	2.417	2.955	2.541	2.942	P51991	P51991	1	37	15	5	P51991	HUMAN	39822.5	39.4	682	682.1	232.67	84	Heterogeneous nuclear ribonucleoprotein A3	15	37	4.32E+09	39.40%
0.113	0.065	-1.088	3.085	3.039	3.152	3.078	3.042	3.124	3.168	3.338	P51991-2	P51991-2	1	4	11	2	P51991-2	HUMAN	37256.6	36.2	682	682.2	156.6	17.15	Isoform 2 of Heterogeneous nuclear ribonucleoprotein A3	2	4	1.94E+09	5.60%
0	0.593	-0.814	3.063	3.039	3.334	3.171	3.29	4.52	3.28	4.635	Q9NUU7	Q9NUU7	1	18	14	2	Q9NUU7|I3L0H8|Q9NUU7-2|Q9UMR2-3|H3BTB3|H3BSL8|J3QRH0|H3BP50|H3BP36|Q9UHL0|Q9UHL0-2|A0A1B0GV69	HUMAN	54430.5	38.7	683	683.1	232.01	38.61	ATP-dependent RNA helicase DDX19A	14	18	1.54E+09	38.70%
0.398		-0.544	2.088	1.896	2.339	3.232	2.438	1.569	2.355	1.866	F6QDS0	F6QDS0	1	1	13	1	F6QDS0|H3BQK0|Q9UMR2|Q9UMR2-4|Q9UMR2-2	HUMAN	54473.4	35	683	683.2	207.26	13.86	HCG2043426 isoform CRA_b	1	1	91300000	3.30%
0	0.917	-0.376	3.111	3.226	3.218	3.316	3.196	5.844	3.251	5.867	Q9UPQ9	Q9UPQ9	1	22	14	14	Q9UPQ9|Q9UPQ9-1|Q9UPQ9-2	HUMAN	194854.6	12	684	684.1	231.71	231.71	Trinucleotide repeat-containing gene 6B protein	14	22	8.23E+08	12.00%
0	0.261	-0.596	3.765	3.696	3.865	3.723	3.887	4.727	3.839	4.952	Q9NQC3	Q9NQC3	1	37	13	6	Q9NQC3|Q9NQC3-6|Q9NQC3-4|Q9NQC3-3	HUMAN	130328.4	20.8	685	685.1	231.59	109.17	Reticulon-4	13	37	1.46E+10	20.80%
0.281	1.183	-0.003	2.6	2.825	3.102	2.729	2.604	4.034	2.905	4.207	Q9NQC3-2	Q9NQC3-2	1	5	8	1	Q9NQC3-2|F8W914	HUMAN	40374.3	36.4	685	685.2	139.37	16.95	Isoform 2 of Reticulon-4	1	5	1.22E+09	3.70%
											Q9NQC3-5	Q9NQC3-5	1	1	8	1	Q9NQC3-5	HUMAN	42330.4	33.9	685	685.3	129.76	7.34	Isoform 5 of Reticulon-4	1	1	11400000	2.80%
0.832	0	-0.457	1.2	1.608	1.478	1.816	0.858	1.445	1.126	1.706	P15502-4	P15502-4	1	23	11	11	P15502-4|P15502-1|P15502-2|E7EN65|E7ENM0|P15502-9|P15502|F8WAH6|P15502-10|P15502-13|P15502-6|P15502-7|P15502-5|G3V0G6|P15502-12|P15502-8|B3KRT8|G5E950|P15502-11	HUMAN	66218.7	30.3	686	686.1	230.78	230.78	Isoform 4 of Elastin	11	23	2.95E+09	30.30%
0	0.606	-0.976	3.39	3.482	3.52	3.569	3.551	5.279	3.514	5.352	Q96FJ0	Q96FJ0	1	26	15	15	Q96FJ0|Q96FJ0-2|B3KR00	HUMAN	50466.9	42.4	687	687.1	230.78	230.78	AMSH-like protease	15	26	2.02E+09	42.40%
0	0.259	-0.464	2.403	2.24	2.425	2.374	2.443	3.501	2.421	3.497	P22695	P22695	1	29	14	14	P22695|H3BRG4|H3BSJ9|H3BUI9|H3BUE4	HUMAN	48613.3	36.8	688	688.1	230.58	230.58	Cytochrome b-c1 complex subunit 2 mitochondrial	14	29	2.95E+09	36.80%
0	0.24	-0.567	2.378	2.271	2.551	2.431	2.467	3.68	2.432	3.648	Q9Y305-4	Q9Y305-4	1	32	16	16	Q9Y305-4|Q9Y305|Q9Y305-2|Q9Y305-3|C9J7L8	HUMAN	51306.3	38.8	689	689.1	230.48	230.48	Isoform 4 of Acyl-coenzyme A thioesterase 9 mitochondrial	16	32	2.34E+09	38.80%
0	0.528	-0.524	3.107	2.819	3.18	3.016	3.142	4.244	3.188	4.263	O15371	O15371	1	24	14	14	O15371|O15371-3|O15371-2	HUMAN	64599.2	34.3	690	690.1	230.11	230.11	Eukaryotic translation initiation factor 3 subunit D	14	24	1.38E+09	34.30%
0.028	0	-1.127	3.321	3.203	3.355	3.317	3.344	3.781	3.324	3.992	Q9GZR7	Q9GZR7	1	24	14	14	Q9GZR7|G3V529|Q9GZR7-2|F5GYL3|A0A1W2PRR2|A0A087WXU8	HUMAN	96957.6	21	691	691.1	229.88	229.88	ATP-dependent RNA helicase DDX24	14	24	1.19E+09	21.00%
0	0.537	-0.915	2.814	2.668	2.954	2.815	3.005	4.957	2.919	5.052	Q7Z4H7	Q7Z4H7	1	22	15	15	Q7Z4H7|Q7Z4H7-3|Q5VY60|Q7Z4H7-2	HUMAN	109703.4	20.7	692	692.1	229.79	229.79	HAUS augmin-like complex subunit 6	15	22	7.79E+08	20.70%
0	0.266	-0.751	0.808	0.909	0.895	0.86	0.955	1.584	1.018	1.677	P22629	P22629	1	226	10	10	P22629|Q53532|Q53533	STRAV	18833.4	69.9	693	693.1	229.5	229.5	Streptavidin	10	226	2.68E+12	69.90%
0	0.282	-0.714	4.443	4.038	4.381	4.261	4.424	4.66	4.41	4.634	Q99650	Q99650	1	26	14	14	Q99650|Q99650-2	HUMAN	111989.9	16.8	694	694.1	229.22	229.22	Oncostatin-M-specific receptor subunit beta	14	26	2.51E+09	16.80%
0	0.639	-0.167	3.413	3.453	3.468	3.453	3.456	4.843	3.436	5.087	Q92797	Q92797	1	31	14	14	Q92797|A0A087WUE9|M0R3C7|Q92797-2	HUMAN	142001.7	16.6	695	695.1	228.97	228.97	Symplekin	14	31	1.51E+09	16.60%
0	1.258	-0.726	3.224	3.019	3.174	2.917	3.043	5.01	2.982	4.791	Q9UKK3	Q9UKK3	1	21	15	15	Q9UKK3	HUMAN	194702.2	11.3	696	696.1	228.64	228.64	Poly [ADP-ribose] polymerase 4	15	21	1.29E+09	11.30%
0	0.307	-0.75	2.974	2.976	3.337	3.211	3.246	4.331	3.336	4.234	P42858	P42858	1	20	15	15	P42858	HUMAN	351590.8	6.7	697	697.1	228.43	228.43	Huntingtin	15	20	6.39E+08	6.70%
0	1.047	-0.075	3.345	3.301	3.361	3.547	3.566	5.964	3.424	5.939	O43294	O43294	1	21	13	13	O43294|O43294-2|H3BN49|I3L209	HUMAN	51353.8	36.6	698	698.1	228.2	228.2	Transforming growth factor beta-1-induced transcript 1 protein	13	21	6.46E+09	36.60%
0	0.699	-0.521	2.947	3.258	3.276	3.412	3.378	4.61	3.17	4.677	P42356	P42356	1	16	13	13	P42356|P42356-2|A4QPH2	HUMAN	239393.6	8.4	699	699.1	228.13	228.13	Phosphatidylinositol 4-kinase alpha	13	16	6.37E+08	8.40%
0	0.045	-0.614	2.912	2.914	3.098	3.011	3.017	3.853	3.062	3.848	Q13148	Q13148	1	22	12	12	Q13148|A0A087WYY0|A0A087X260|G3V162|B1AKP7|Q13148-4|A0A1W2PNU8|A0A0A0MSV7|K7EJ99	HUMAN	45081.4	34	700	700.1	227.82	227.82	TAR DNA-binding protein 43	12	22	3.34E+09	34.00%
0.124	0	-0.602	4.671	3.885	4.859	4.067	4.933	4.144	4.789	4.395	Q8TEY7	Q8TEY7	1	26	15	15	Q8TEY7|Q8TEY7-2|Q8TEY7-3	HUMAN	108607.7	21.5	701	701.1	227.61	227.61	Ubiquitin carboxyl-terminal hydrolase 33	15	26	1.64E+09	21.50%
0	0.028	-0.37	4.213	3.787	4.203	4.087	4.24	3.724	4.262	3.881	Q9P0L0-2	Q9P0L0-2	1	43	13	12	Q9P0L0-2|Q9P0L0|J3QKM9	HUMAN	32841.2	54	702	702.1	226.17	206.63	Isoform 2 of Vesicle-associated membrane protein-associated protein A	13	43	8.63E+09	54.00%
0	0.113	-1.261	4.344	4.11	4.373	4.363	4.539	3.729	4.301	3.913	O95292	O95292	1	18	9	7	O95292|O95292-2|E5RK64	HUMAN	27456.1	44.4	702	702.2	142.42	118.69	Vesicle-associated membrane protein-associated protein B/C	7	18	3.26E+09	39.90%
0	0.615	-0.499	2.976	2.53	3.051	2.611	3.182	4.455	2.971	4.372	P43490	P43490	1	31	16	16	P43490|A0A0C4DFS8	HUMAN	55805.4	32.1	703	703.1	226.11	226.11	Nicotinamide phosphoribosyltransferase	16	31	4.11E+09	32.10%
0	0.112	-0.677	3.74	4.171	3.772	4.543	3.873	3.76	3.66	3.76	Q96CS3	Q96CS3	1	33	12	12	Q96CS3	HUMAN	52964.8	38.6	704	704.1	225.81	225.81	FAS-associated factor 2	12	33	3.29E+09	38.60%
0	1.029	-0.826	3.849	4.143	3.815	4.16	3.795	4.215	3.907	4.253	Q7Z7A1	Q7Z7A1	1	21	17	17	Q7Z7A1|Q7Z7A1-5|Q7Z7A1-2|Q5JVD1|Q7Z7A1-3|Q7Z7A1-4|Q5JVD3	HUMAN	270021.9	10	705	705.1	225.68	225.68	Centriolin	17	21	8.22E+08	10.00%
0	0.222	-0.9	3.024	2.924	2.965	3.186	3.077	3.491	2.942	3.48	P62820	P62820	1	50	13	5	P62820|E7END7|P62820-2|P62820-3|TGGT1_214770-t26_1-p1|H0YMN7|Q15286-2|TGGT1_258130-t26_1-p1|H0YL94|H0YLJ8|P61018-2|Q9H082|Q96AX2-3|Q14964|Q96AX2|P20338|Q96AX2-2|P61018|Q15771|B7Z3L0|A8MZI4|Q96AX2-4|A8MTC6|A8MSP2|G3V196|Q15771-2|Q86YS6-2|E9PNB9|TGGT1_257340-t26_1-p1|TGGT1_310460-t26_1-p1	HUMAN	22905.6	60.4	706	706.1	209.83	81.1	Ras-related protein Rab-1A	15	50	1.34E+10	60.40%
0	0.396	-0.178	3.399	3.308	3.434	3.542	3.479	4.192	3.396	4.218	P20337	P20337	1	35	12	11	P20337|O95716|Q96E17|P20336|S4R3Q3	HUMAN	24985.7	61.6	706	706.2	225.17	192.43	Ras-related protein Rab-3B	11	35	5.06E+09	52.90%
0	0.167	-0.862	2.746	2.842	2.889	2.898	2.851	3.534	2.963	3.61	Q9H0U4	Q9H0U4	1	9	12	4	Q9H0U4|E9PLD0|Q92928	HUMAN	22341.9	67.6	706	706.3	193.47	64.74	Ras-related protein Rab-1B	4	9	6.30E+08	32.80%
0	0.259	-0.969	2.698	2.658	2.802	2.918	2.647	3.782	2.719	3.778	P61106	P61106	1	21	11	10	P61106	HUMAN	24124.7	54.8	706	706.4	166.95	148.17	Ras-related protein Rab-14	10	21	1.63E+09	49.70%
0	0.199	-0.709	2.673	2.722	2.757	2.679	2.84	3.492	2.789	3.613	P51153	P51153	1	18	10	7	P51153|A0A087WWB9	HUMAN	23001.9	51.2	706	706.5	136	91.06	Ras-related protein Rab-13	7	18	1.34E+09	38.40%
0.063	0	-1.222	1.792	1.865	1.723	2.116	1.977	2.154	1.69	2.048	P61026	P61026	1	5	7	4	P61026	HUMAN	22768.7	38.5	706	706.6	115.29	66.01	Ras-related protein Rab-10	4	5	3.80E+08	24.00%
-0.035	0.652		2.44	2.671	2.284	2.131	2.236	3.466	2.298	3.696	Q15286	Q15286	1	2	5	2	Q15286	HUMAN	23310.1	31.3	706	706.7	75.62	23.99	Ras-related protein Rab-35	2	2	1.08E+08	16.40%
	0.948		3.285	3.629	3.717	3.437	3.334	4.255	3.499	4.531	P61006	P61006	1	1	5	1	P61006|Q92930|P61006-2	HUMAN	23838.9	25.1	706	706.8	70.5	4.55	Ras-related protein Rab-8A	1	1	1680000	7.20%
0	0.248	-0.752	2.29	2.131	2.333	2.208	2.146	2.756	2.337	2.738	P20340	P20340	1	4	4	2	P20340|P20340-2|P20340-4|Q9NRW1|Q9NRW1-2|P20340-3	HUMAN	23706.5	19.7	706	706.9	51.27	17.57	Ras-related protein Rab-6A	2	4	87200000	10.00%
0	0.451	-0.691	2.992	2.914	2.649	2.87	3.007	3.535	2.847	3.884	TGGT1_313190-t26_1-p1	TGGT1_313190	1	3	3	1	TGGT1_313190-t26_1-p1	Toxoplasma_gondii_GT1	23578.5	14.1	706	706.1	51.25	16.01	TGGT1_313190	1	3	2.19E+08	5.10%
0	0.219	-0.989	2.782	2.418	2.776	2.823	2.825	3.508	2.797	3.576	Q6IQ22	Q6IQ22	1	2	3	2	Q6IQ22	HUMAN	27590.2	13.1	706	706.11	49.57	30.79	Ras-related protein Rab-12	2	2	1.07E+08	8.60%
											P59190	P59190	1	1	3	1	P59190|P59190-2	HUMAN	24675.5	14.6	706	706.12	46.53	7.06	Ras-related protein Rab-15	1	1	1440000	9.40%
0.132	-0.052	-0.569	2.013	2.081	2.281	1.905	2.024	2.84	2.235	3.179	Q6PIK3	Q6PIK3	1	2	2	1	Q6PIK3	HUMAN	13650.1	19.8	706	706.13	37.71	18.93	HCG1995540 isoform CRA_b	1	2	44200000	10.70%
	2.571	-0.079	4.457	3.652	3.79	3.794	3.851	4.136	3.804	4.255	Q86YS6	Q86YS6	1	1	2	1	Q86YS6	HUMAN	23567.2	11.7	706	706.14	36.94	18.16	Ras-related protein Rab-43	1	1	5460000	6.60%
	0.529	-0.568	3.68	3.709	4.943	4.174	4.188	4.274	3.959	4.303	Q53S08	Q53S08	1	1	2	1	Q53S08|Q9H0N0	HUMAN	28469.8	7	706	706.15	26.72	11.8	Rab6C	1	1	35500000	3.50%
	0.163	-0.301	2.458	1.948	2.585	2.292	2.637	3.676	2.519	3.9	Q96DA2	Q96DA2	1	1	2	1	Q96DA2	HUMAN	24849.9	12.2	706	706.16	24.99	6.21	Ras-related protein Rab-39B	1	1	18400000	7.00%
0	0.664	-0.616	3.266	2.926	3.332	3.39	3.375	3.998	3.288	4.11	Q9NRY5	Q9NRY5	1	21	14	14	Q9NRY5|E7ESJ7	HUMAN	55752.5	36.2	707	707.1	224.02	224.02	Protein FAM114A2	14	21	1.64E+09	36.20%
0	0.335	-0.641	3.424	3.329	3.563	3.468	3.397	4.355	3.387	4.407	Q92545	Q92545	1	19	15	15	Q92545	HUMAN	205932.9	13.1	708	708.1	223.97	223.97	Transmembrane protein 131	15	19	6.25E+08	13.10%
0	0.699	-0.128	3.948	3.636	4.008	3.8	3.935	4.914	4.069	5.134	Q96G01	Q96G01	1	22	14	14	Q96G01|Q96G01-3|Q96G01-4|A8MVZ6|F8W056|Q96G01-2|F8VZX7	HUMAN	111318.5	18.7	709	709.1	223.84	223.84	Protein bicaudal D homolog 1	14	22	2.99E+09	18.70%
0	0.454	-0.927	3.924	3.758	3.877	3.755	4.116	4.443	3.842	4.643	P23458	P23458	1	23	17	17	P23458|P29597|E9PM19	HUMAN	135100.4	15.3	710	710.1	223.43	223.43	Tyrosine-protein kinase JAK1	17	23	1.39E+09	15.30%
0	0.44	-0.393	3.929	3.981	3.975	4.173	4.163	4.575	4.101	4.606	Q9BRR8	Q9BRR8	1	23	14	14	Q9BRR8|K7EQ19	HUMAN	103628.4	21.8	711	711.1	223	223	G patch domain-containing protein 1	14	23	7.84E+08	21.80%
0	0.532	-0.741	3.598	3.196	3.756	3.482	3.72	4.862	3.63	5.023	Q96HS1	Q96HS1	1	25	16	16	Q96HS1|Q96HS1-2|F5GXG4	HUMAN	32232.1	62.2	712	712.1	222.57	222.57	Serine/threonine-protein phosphatase PGAM5 mitochondrial	16	25	3.66E+09	62.20%
0	0.538	-0.089	3.852	3.755	3.651	3.787	3.943	5.051	3.733	5.064	P46736	P46736	1	33	13	13	P46736|P46736-3|P46736-2|H9KVA9|A0A0D9SF50|A0A087WZR3|P46736-5|P46736-4	HUMAN	36470.7	45.8	713	713.1	222.19	222.19	Lys-63-specific deubiquitinase BRCC36	13	33	4.68E+09	45.80%
0	0.941	-1.005	3.933	4.27	3.927	4.768	4.038	4.224	4.092	4.472	Q7Z591	Q7Z591	1	24	17	17	Q7Z591|Q7Z591-2|Q7Z591-7|Q7Z591-8|Q7Z591-3|Q7Z591-5|Q7Z591-4|Q7Z591-6	HUMAN	155935.2	12.8	714	714.1	221.99	221.99	AT-hook-containing transcription factor	17	24	1.85E+09	12.80%
0	0.33	-0.644	4.122	2.583	4.166	2.699	4.176	3.949	4.273	3.978	Q7Z460	Q7Z460	1	26	15	12	Q7Z460|Q7Z460-3|Q7Z460-4|Q7Z460-5|F8WA11|Q7Z460-2	HUMAN	170474.5	12	715	715.1	221.88	172.21	CLIP-associating protein 1	15	26	6.25E+08	12.00%
0	0.711	-1.034	2.809	2.291	2.682	2.538	2.952	4.635	3.003	4.815	O75122	O75122	1	15	14	11	O75122|J3KR49|E3W994|O75122-3|E7EW49|E7ERI8|A0A0U1RQI6|E7ENG2|B3KR06|O75122-2	HUMAN	141929	13.9	715	715.2	196.39	146.72	CLIP-associating protein 2	11	15	5.47E+08	11.00%
0	0.339	-0.759	2.797	2.669	2.772	2.832	2.851	3.423	2.764	3.578	P27635	P27635	1	63	15	13	P27635|A0A087WV22|F8W7C6|Q96L21	HUMAN	25059.9	57.9	716	716.1	220.61	202.98	60S ribosomal protein L10	15	63	2.40E+10	57.90%
0	0.493	-0.687	2.595	0.566	2.579	0.686	2.571	4.033	2.588	4.133	TGGT1_288720-t26_1-p1	TGGT1_288720	1	35	13	11	TGGT1_288720-t26_1-p1	Toxoplasma_gondii_GT1	25142.8	54.2	716	716.2	221.85	204.22	TGGT1_288720	11	35	5.49E+09	47.50%
0	0.178	-0.633	3.172	3.412	3.447	3.754	3.339	3.86	3.445	4.076	O15031	O15031	1	21	16	16	O15031	HUMAN	207862.1	9.2	717	717.1	221.66	221.66	Plexin-B2	16	21	9.26E+08	9.20%
0	0.414	-0.656	2.627	2.596	2.606	2.74	2.758	3.87	2.596	4.02	Q9Y2A7-2	Q9Y2A7-2	1	26	16	16	Q9Y2A7-2|Q9Y2A7	HUMAN	130826.8	16.4	718	718.1	221.29	221.29	Isoform 2 of Nck-associated protein 1	16	26	2.66E+09	16.40%
0	0.708	-0.577	2.974	2.968	2.787	2.848	3.074	4.539	2.945	4.563	P21359	P21359	1	24	19	19	P21359|P21359-6|P21359-2|P21359-4|P21359-5|P21359-3	HUMAN	322961	7.7	719	719.1	221.09	221.09	Neurofibromin	19	24	6.83E+08	7.70%
0	0.325	-1.045	4.487	3.95	4.536	4.424	4.68	4.814	4.548	5.042	O95721	O95721	1	29	13	13	O95721	HUMAN	28969.8	58.1	720	720.1	220.88	220.88	Synaptosomal-associated protein 29	13	29	6.71E+09	58.10%
0	0.872	-1.41	3.71	3.331	3.805	3.458	3.855	5.137	3.861	5.279	P46439	P46439	1	28	16	13	P46439|Q5T8R1|Q5T8Q9|P09488|P09488-2|E7EWW9|A0A0A0MR85|Q03013|Q03013-2|B9ZVX7|A6NNT0|P21266|A0A0A0MTN3	HUMAN	25845.4	55.9	721	721.1	220.42	183.9	Glutathione S-transferase Mu 5	16	28	1.94E+09	55.90%
0	1.331		3.437	3.484	4.175	3.656	3.763	5.417	3.859	5.424	F6XZQ7	F6XZQ7	1	3	6	3	F6XZQ7|P28161|E9PHN6|P28161-2|E9PHN7|E9PGV1	HUMAN	26439.6	29.5	721	721.2	93.46	56.94	Glutathione S-transferase	3	3	63100000	18.10%
0	1.042	-0.78	2.963	3.038	3.2	3.218	3.263	5.444	3.205	5.604	Q14155-5	Q14155-5	1	25	15	13	Q14155-5|B1ALK7|Q14155-1|Q14155|Q14155-3|Q14155-2|Q14155-6|E9PDQ5|E7EU80	HUMAN	83311.3	27.7	722	722.1	219.11	187.65	Isoform 5 of Rho guanine nucleotide exchange factor 7	15	25	1.42E+09	27.70%
0	0.602	-1.675	2.567	2.76	2.681	2.815	2.67	4.84	2.629	5.168	Q15052	Q15052	1	3	4	2	Q15052|Q15052-2	HUMAN	88752.5	6.5	722	722.2	56.83	25.37	Rho guanine nucleotide exchange factor 6	2	3	41600000	3.40%
0	0.343	-0.67	2.734	2.726	2.883	2.83	2.953	4.364	2.841	4.404	Q9NZ08-2	Q9NZ08-2	1	18	15	15	Q9NZ08-2|Q9NZ08	HUMAN	108409.8	20.2	723	723.1	219.09	219.09	Isoform 2 of Endoplasmic reticulum aminopeptidase 1	15	18	1.07E+09	20.20%
0	0.543	-1.131	2.754	2.808	2.926	3.031	2.896	4.358	2.856	4.349	Q13425	Q13425	1	30	14	14	Q13425|Q13425-2	HUMAN	58405	29	724	724.1	218.98	218.98	Beta-2-syntrophin	14	30	2.85E+09	29.00%
0	0.41	-0.827	4.012	3.079	4.213	3.167	4.285	4.549	4.442	4.758	Q99816	Q99816	1	20	14	14	Q99816|F5H442|Q99816-2	HUMAN	44114.7	36.4	725	725.1	218.52	218.52	Tumor susceptibility gene 101 protein	14	20	3.16E+09	36.40%
0	0.596	-0.683	2.933	2.837	3.061	2.774	3.008	4.669	3.015	4.833	Q9NZJ4	Q9NZJ4	1	22	17	17	Q9NZJ4|Q9NZJ4-2	HUMAN	526822	3.9	726	726.1	218.04	218.04	Sacsin	17	22	4.08E+08	3.90%
0	0.409	-0.927	3.667	3.323	3.646	3.36	3.708	4.878	3.653	4.971	Q13501	Q13501	1	42	13	13	Q13501|E7EMC7|Q13501-2|C9J6J8|D6RBF1	HUMAN	48485.1	43.4	727	727.1	217.74	217.74	Sequestosome-1	13	42	3.63E+09	43.40%
0	0.68	-3.674	1.942	2.162	1.839	2.084	2.091	2.601	1.868	2.939	P60660	P60660	1	66	11	11	P60660|G3V1V0|P60660-2|F8W1R7|J3KND3|G3V1Y7|B7Z6Z4|G8JLA2|F8W180|F8VZU9|P14649|F8W1I5|P08590|P05976|P05976-2|F8VXL3	HUMAN	17100.9	84.1	728	728.1	217.43	217.43	Myosin light polypeptide 6	11	66	3.84E+10	84.10%
0	0.598	-1.108	3.076	3.096	3.133	3.133	3.267	4.467	3.334	4.676	R4GNH3	R4GNH3	1	21	14	14	R4GNH3|P17980|E9PM69|TGGT1_300310-t26_1-p1	HUMAN	47636.8	46.8	729	729.1	216.93	216.93	26S proteasome regulatory subunit 6A	14	21	1.61E+09	46.80%
0	0.976	-1.2	2.858	2.773	2.974	2.959	2.957	5.632	2.95	5.678	O95425	O95425	1	23	17	17	O95425|O95425-3|O95425-4|O95425-2	HUMAN	249567.7	9.1	730	730.1	216.87	216.87	Supervillin	17	23	5.96E+08	9.10%
0.04	0.237	-0.397	5.112	4.12	5.075	4.361	5.062	5.311	5.005	5.444	P17275	P17275	1	25	12	12	P17275	HUMAN	36049.8	48.7	731	731.1	216.86	216.86	Transcription factor jun-B	12	25	1.02E+10	48.70%
0	0.258	-1.586	2.343	2.417	2.453	2.63	2.351	3.578	2.327	3.621	P13489	P13489	1	25	12	12	P13489|E9PMN0|E9PMA9|E9PR82	HUMAN	51798.3	36	732	732.1	216.55	216.55	Ribonuclease inhibitor	12	25	2.50E+09	36.00%
0	0.397	-0.794	2.412	2.328	2.498	2.485	2.558	3.47	2.418	3.644	P61247	P61247	1	40	16	16	P61247|D6RAT0|E9PFI5|D6R9B6|D6RI02	HUMAN	30172.6	54.9	733	733.1	216.27	216.27	40S ribosomal protein S3a	16	40	7.81E+09	54.90%
0	0.597	-0.476	2.834	2.698	2.968	2.866	3.068	4.55	2.974	4.613	P32969	P32969	1	64	12	12	P32969	HUMAN	21977.1	73.4	734	734.1	215.71	215.71	60S ribosomal protein L9	12	64	3.56E+10	73.40%
0	0.556	-0.315	3.094	3.228	3.036	3.4	3.118	4.721	3.246	4.862	Q6VY07	Q6VY07	1	18	15	15	Q6VY07|B4DF77|Q6VY07-2|E9PSG7	HUMAN	105295.9	21.5	735	735.1	215.28	215.28	Phosphofurin acidic cluster sorting protein 1	15	18	2.25E+09	21.50%
0	0.372	-0.564	3.673	4.57	3.683	4.705	3.966	4.202	4.012	4.409	Q9HCL0	Q9HCL0	1	28	17	17	Q9HCL0|Q9HCL0-2|D6RIG4|B4DQ29|B4DLR6|A0A087WTW3	HUMAN	127002.7	13.8	736	736.1	215.15	215.15	Protocadherin-18	17	28	2.03E+09	13.80%
0	0.14	-0.467	2.283	2.319	2.421	2.476	2.357	3.763	2.389	3.873	Q9UQ35	Q9UQ35	1	22	15	15	Q9UQ35|Q9UQ35-2|Q9UQ35-3|A0A087X1W1	HUMAN	300351.7	8.2	737	737.1	214.96	214.96	Serine/arginine repetitive matrix protein 2	15	22	9.35E+08	8.20%
0	0.284	-0.955	4.194	4.069	4.317	4.224	4.398	4.834	4.231	4.968	Q5JWT2	Q5JWT2	1	22	15	15	Q5JWT2|Q9ULK4|Q9ULK4-3|Q9ULK4-5|Q9ULK4-4|Q9ULK4-2|Q9ULK4-6	HUMAN	158993.7	12.4	738	738.1	214.33	214.33	Mediator of RNA polymerase II transcription subunit 23	15	22	1.32E+09	12.40%
0	0.57	-0.794	3.856	3.568	3.871	3.64	3.916	4.677	3.955	4.855	Q8WUX9	Q8WUX9	1	17	12	12	Q8WUX9|Q8WUX9-2|E5RJI3|E5RFR8	HUMAN	51195.3	33.3	739	739.1	214.29	214.29	Charged multivesicular body protein 7	12	17	9.29E+08	33.30%
0	0.555	-0.562	3.007	3.025	3.085	3.048	3.068	4.808	3.091	4.892	A6NEM2	A6NEM2	1	24	16	15	A6NEM2|P51610-4|P51610|P51610-2|P51610-3	HUMAN	215469.1	8.9	740	740.1	214.26	201.61	Host cell factor 1	16	24	1.31E+09	8.90%
0.112		-0.655	3.2	3.149	3.438	3.284	3.461	4.826	3.401	4.95	Q9Y5Z7	Q9Y5Z7	1	2	3	2	Q9Y5Z7|Q9Y5Z7-2	HUMAN	87747.4	4	740	740.2	34.18	21.53	Host cell factor 2	2	2	14400000	2.90%
